Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,1/2/2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Denmark,DNK,82.74,86.65,85.03,85.02,86.84,88.72,89.81001339,92.26001172,94.6297,95.99,96.3305,
Dominican Republic,DOM,11.48319778,14.84492837,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,51.93023274,
Algeria,DZA,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14,15.22802676,16.5,25,38.2,
East Asia & Pacific (excluding high income),EAP,8.319143451,10.17376939,14.38223568,19.25942049,23.76826305,28.95605646,32.38395697,36.11991697,39.24711359,41.9051896,44.98204897,
Early-demographic dividend,EAR,4.895428367,5.783498059,7.349261153,8.51512561,9.712751899,12.84658925,15.45778052,18.02426063,20.34903021,25.11454001,29.79234255,
East Asia & Pacific,EAS,14.66635904,16.6176467,20.76611474,25.25292651,29.5123239,34.2294861,37.36364156,40.75611397,44.20350074,46.73983645,49.82471578,
Europe & Central Asia (excluding high income),ECA,12.47815799,15.01855708,20.39210263,23.90847565,27.49027347,35.6603017,40.60390774,48.56220086,52.72270543,56.77736362,59.93206446,
Europe & Central Asia,ECS,35.22610797,38.08272026,43.67340173,47.35737836,50.5657966,56.11814625,58.86062762,63.48542495,66.30553637,69.50949624,71.74412921,
Ecuador,ECU,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,
"Egypt, Arab Rep.",EGY,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89460391,35.9,
Euro area,EMU,51.24401839,54.91930454,61.36466359,64.8239515,67.11518705,71.02191736,72.05946301,74.08163408,75.81072732,78.30003601,80.28028397,
Eritrea,ERI,,,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.083733116,
Spain,ESP,47.88,50.37,55.11,59.6,62.4,65.8,67.6,69.80999994,71.635,76.19,78.6896,
Estonia,EST,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.38992593,79.4,84.24,88.4066,
Ethiopia,ETH,0.219659819,0.310592657,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,11.6,
European Union,EUU,50.9720859,54.54631442,60.29527801,64.18913689,67.2146427,70.63089596,71.55806629,73.69936458,75.53578025,78.10214768,79.62581461,
Fragile and conflict affected situations,FCS,1.468663542,1.885310576,3.073772216,2.99223459,3.823669139,6.145980059,6.798016227,8.021389125,9.493569517,12.21624472,14.98630875,
Finland,FIN,74.48,79.66,80.78,83.67,82.49,86.89,88.70999491,89.87999797,91.5144,92.38,92.6513,
Fiji,FJI,8.453636634,9.6000384,10.89783105,13,17,20,28,33.74235675,37.1,41.8,46.32872895,
France,FRA,42.87,46.87,66.09,70.68,71.58,77.28,77.81999899,81.44,81.9198,83.75,84.6945,
Faroe Islands,FRO,67.90263174,69.35944512,75.98,75.57,75.18,75.2,80.7321728,85.33518924,90,93.3,94.2,
"Micronesia, Fed. Sts.",FSM,11.8813691,12.75033925,13.62113273,14.49,15.35,20,22.8,25.974423,27.8,29.65,31.50108128,
Gabon,GAB,4.89326475,5.489200803,5.767004576,6.21,6.7,7.23,8,8.616714489,9.2,20,23.5,
United Kingdom,GBR,70,68.82,75.09,78.39,83.56,85,85.37999855,87.47999842,89.8441,91.61,92.0003,
Georgia,GEO,6.079457629,7.526876845,8.26,10.01,20.07,26.9,31.52,36.94,43.3,44,45.15837441,
Ghana,GHA,1.831197461,2.723175973,3.85,4.27,5.44,7.8,9,10.6,12.3,18.9,23.47812844,
Gibraltar,GIB,39.07013088,45.29864751,51.61,58,65.07,65,65,65.017,,,,
Guinea,GIN,0.542254181,0.637492123,0.780025279,0.92,0.94,1,1.3,1.490144366,1.6,1.72,4.7,
"Gambia, The",GMB,3.799001139,5.237691158,6.205037419,6.88,7.63,9.2,10.8703,12.44922872,14,16.5,17.1198205,
Guinea-Bissau,GNB,1.901365316,2.057196705,2.206302237,2.354888711,2.303280592,2.45,2.672,2.893990621,3.1,3.32,3.540706917,
Equatorial Guinea,GNQ,1.149789671,1.279193596,1.557123059,1.82,2.13,6,11.5,13.94318219,16.4,18.86,21.31999999,
Greece,GRC,24,32.25,35.88,38.2,42.4,44.4,51.64999517,55.06999344,59.8663,63.21,66.835,
Grenada,GRD,20.48780488,21.39599117,22.29,23.18,24.05,27,30,32,35,51.6,53.81,
Greenland,GRL,57.7034045,59.36168727,61.07,62.82,62.83,63,64,64.8960101,65.8,66.7,67.60044348,
Guatemala,GTM,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,27.1,
Guam,GUM,38.55987756,43.851443,46.15047362,48.41870215,50.64202838,54.04,57.7,61.53415931,65.4,69.27,73.13999995,
Guyana,GUY,,,13.8,18.2,23.9,29.9,31,33,35,37.35,38.2,
High income,HIC,58.67396067,61.37458527,66.78508327,68.87885478,70.11072051,72.21669317,72.78010564,75.47293094,76.87613716,78.99371892,81.01474358,
"Hong Kong SAR, China",HKG,56.9,60.8,64.8,66.7,69.4,72,72.2,72.9,74.2,79.86627043,84.94835296,
Honduras,HND,6.5,7.8,9.4,9.6,9.8,11.09,15.9,18.12,17.8,19.08,20.35686743,
Heavily indebted poor countries (HIPC),HPC,1.213447385,1.557895614,2.42662065,2.527283286,3.153333335,4.929978865,5.397639252,6.607741601,7.754439185,9.715207016,12.13351837,
Croatia,HRV,33.14,37.98,41.44,44.24,50.58,56.55,57.78997899,61.93997315,66.7476,68.57,69.8031,
Haiti,HTI,6.376201635,6.796000481,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,12.19776638,
Hungary,HUN,38.97,47.06,53.3,61,62,65,68.01998789,70.57999815,72.6439,76.13,72.8347,
IBRD only,IBD,8.682716751,10.4809712,13.70936801,16.94817806,20.32583252,24.88891151,28.35646834,32.13982684,34.985179,38.67529131,42.56249279,
IDA & IBRD total,IBT,7.267193898,8.928742396,11.51427846,14.37762483,17.21035701,20.99379112,24.02294649,27.34916443,29.94201552,33.47148455,37.11415331,
IDA total,IDA,2.902409584,4.004064113,4.933947756,6.528561013,7.802639182,9.709354243,11.53551914,13.52278628,15.63441408,19.09068083,22.23873864,
IDA blend,IDB,5.968230372,7.652878141,8.954543399,12.47269511,14.72137665,17.32243799,20.25456208,24.02054028,27.2453768,30.53402823,35.0408618,
Indonesia,IDN,3.602024763,4.764813134,5.786274729,7.917479385,6.92,10.92,12.28,14.52,14.94,17.14,21.97606771,
IDA only,IDX,1.132208832,1.779913049,2.646257839,2.999442715,3.710439473,5.431792155,6.607823862,7.839489148,9.438194509,12.75239704,15.1737595,
Isle of Man,IMN,,,,,,,,,,,,
India,IND,2.388075,2.805499865,3.95,4.38,5.12,7.5,10.07,12.58006091,15.1,21,26,
Not classified,INX,,,,,,,,,,,,
Ireland,IRL,41.61,54.82,61.15832455,65.34,67.38,69.85,74.88997297,76.91999254,78.2477,79.69,80.1224,
"Iran, Islamic Rep.",IRN,8.1,8.76,9.47,12.02,13.8,15.9,19,22.73,29.95,39.35,44.08287502,
Iraq,IRQ,0.9,0.952344244,0.93,1,1.06,2.5,5,7.1,9.2,13.21,17.22,
Iceland,ISL,87,89.51,90.6,91,93,93.39,94.8196868,96.20979955,96.5468,98.16,98.2,
Israel,ISR,25.19404242,27.88107446,48.12806219,59.39,63.12,67.5,68.87387799,70.8,70.25031195,75.01775316,78.8851791,
Italy,ITA,35,37.99,40.79,44.53,48.83,53.68,54.3899983,55.82999799,58.4593,61.96,65.5716,
Jamaica,JAM,12.8,16.4,21.1,23.6,24.3,27.67,37.43861341,33.79,37.1,40.4027351,43.17589719,
Jordan,JOR,12.93285205,13.86710879,20,23,26,27.2,34.9,37,41.4,46.2,53.4,
Japan,JPN,66.9210661,68.68527032,74.3,75.4,78,78.21,79.05411352,79.4964,88.21942891,89.10683302,93.32941106,
Kazakhstan,KAZ,2.961707492,3.268369051,4.02,11,18.2,31.6,50.6,53.31566912,63,66,72.86601297,
Kenya,KEN,3.101897702,7.53378972,7.95,8.67,10.04,14,28,32.1,39,43.4,45.62280061,
Kyrgyz Republic,KGZ,10.53380134,12.306907,14.03,15.7,16,16.3,17.5,19.8,23,28.3,30.24704278,
Cambodia,KHM,0.317321781,0.46835672,0.49,0.51,0.53,1.26,3.1,4.94,6.8,14,19,
Kiribati,KIR,4,4.5,6,7,8.97,9.07,10,10.74679768,11.5,12.25,12.99748389,
St. Kitts and Nevis,KNA,34,38.5,43.5,49.2,55.7,63,63.2,64,64.6,68,75.7,
"Korea, Rep.",KOR,73.5,78.1,78.8,81,81.6,83.7,83.75912015,84.07,84.77,87.87,89.8962558,
Kosovo,KSV,,,,,,,,,,,,
Kuwait,KWT,25.92610837,28.79119795,34.8,42,50.8,61.4,65.76907069,70.45,75.46,78.7,82.07911476,
Latin America & Caribbean (excluding high income),LAC,16.0539116,20.1969995,23.1934153,25.96640769,30.52083211,34.19612572,38.75459641,42.52021043,45.62560089,48.08390004,53.88393399,
Lao PDR,LAO,0.85035749,1.169893428,1.64,3.55,6,7,9,10.74767619,12.5,14.26,18.2,
Lebanon,LBN,10.14,15,18.74,22.53,30.14,43.68,52,61.24978572,70.5,73,74,
Liberia,LBR,,,0.551376581,0.53,2,2.3,2.5,2.6,3.2,5.41,5.903867603,
Libya,LBY,3.917787977,4.301051789,4.721999379,9,10.8,14,14,,16.5,17.76,19.01607978,
St. Lucia,LCA,21.56758295,24.5,27.9,32,36,43.3,44,45.9,46.2,50,52.35,
Latin America & Caribbean,LCN,16.62978984,20.75263406,23.70293508,26.50047906,31.03430413,34.70962205,39.34778503,43.18728623,46.26708166,48.77555914,54.4583843,
Least developed countries: UN classification,LDC,0.784261368,1.116835644,1.921552692,2.120253873,2.70237865,4.303147709,4.785727275,5.853779567,7.199161324,10.31837634,12.62860122,
Low income,LIC,0.910523758,1.135463094,1.359597756,1.869947827,2.366428996,3.331478558,3.710801285,4.650811705,6.131143623,7.518276816,9.460342053,
Liechtenstein,LIE,63.37135615,64.21416136,65.08021844,70,75,80,85,89.4077,93.8,95.21,96.6411951,
Sri Lanka,LKA,1.792046794,2.537566129,3.88,5.8,8.78,12,15,18.2854,21.9,25.8,29.98873755,
Lower middle income,LMC,3.67140886,4.641275417,5.876746988,7.387108039,8.662123806,11.79512028,14.33124022,17.14083828,19.54519041,24.38222007,28.63206153,
Low & middle income,LMY,6.91393249,8.527959732,11.09865076,13.93950914,16.73692172,20.51092908,23.53568623,26.87381689,29.60379072,33.13776179,36.79864752,
Lesotho,LSO,2.580245484,2.979708187,3.44543126,3.58,3.72,3.86,4.2248,4.58961763,5,11,16.0717077,
Late-demographic dividend,LTE,12.29309792,15.14196494,19.97998484,25.19966247,30.59873665,36.03501964,40.04646418,44.75117182,48.54960336,51.19122286,54.05925577,
Lithuania,LTU,36.22,43.9,49.9,55.22,59.76,62.12,63.6399774,67.22998933,68.4529,72.13,71.378,
Luxembourg,LUX,70,72.51,78.92,82.23,87.31,90.62,90.02985856,91.94992374,93.7765,94.67,97.3341,
Latvia,LVA,46,53.63,59.17,63.41,66.84,68.42,69.74995456,73.11994377,75.2344,75.83,79.2006,
"Macao SAR, China",MAC,34.86292717,46.4,47.327,49.24,54,55.198,60.20369672,61.31,65.8,69.78,77.60013186,
St. Martin (French part),MAF,,,,,,,,,,,,
Morocco,MAR,15.08444452,19.77119157,21.5,33.1,41.3,52,46.1074826,55.41605319,56,56.8,57.08,
Monaco,MCO,55.46482606,61.47603971,64.3776824,67.25,70.1,75,80.3,87,90.7,92.4,93.36330202,
Moldova,MDA,14.63027046,19.62064771,20.45,23.39,27.5,32.3,38,43.37,45,46.6,49.83693954,
Madagascar,MDG,0.567721802,0.607552239,0.65,1.65,1.63,1.7,1.9,2.3,3,3.7,4.17397219,
Maldives,MDV,6.869605067,11.03635278,16.3,23.2,24.8,26.53,34,38.9301,44.1,49.28,54.46195515,
Middle East & North Africa,MEA,9.753068168,11.79240225,15.04136038,18.73683788,21.59770331,24.8526292,27.69676649,31.26995992,34.66623096,39.70053211,43.70753337,
Mexico,MEX,17.21,19.52,20.81,21.71,26.34,31.05,37.17629541,39.75,43.46,44.39,57.43104299,
Marshall Islands,MHL,3.878702398,3.795590214,3.95,4.6,5.6,7,10,12.5,14,16.8,19.2824418,
Middle income,MIC,7.485531919,9.231788531,12.06711444,15.16697861,18.21968268,22.29699438,25.62749728,29.26599285,32.10584714,35.90266384,39.79636329,
"Macedonia, FYR",MKD,26.45,28.62,36.3,46.04,51.77,51.9,56.7,57.44994731,65.24,68.06,70.3802,
Mali,MLI,0.507063136,0.729627281,0.81,1.57,1.8,2,2.2,2.8,3.5,7,10.33692498,
Malta,MLT,41.24,40.41,46.9,50.08,58.86,63,68.01982379,68.19987429,68.9138,73.17,76.184,
Myanmar,MMR,0.065238856,0.182048331,0.217128445,0.22,0.22,0.25,0.98,1.44,1.8,11.52,21.8,
Middle East & North Africa (excluding high income),MNA,8.539218727,9.912249749,11.84823861,14.96713748,17.67142463,20.61891636,22.76705108,25.79288297,28.97874379,34.17636192,38.20625385,
Montenegro,MNE,27.1,28.9,30.8,32.9,35.1,37.5,35.61154125,56.83878255,60.31,61,64.56499314,
Mongolia,MNG,,,9,9.8,10,10.2,12.49999111,16.4,17.69998424,19.94244743,21.43603111,
Northern Mariana Islands,MNP,,,,,,,,,,,,
Mozambique,MOZ,0.854357118,0.842954488,0.91,1.56,2.68,4.17,4.3,4.8491,5.4,5.94,9,
Mauritania,MRT,0.669966475,0.979661253,1.433613196,1.87,2.28,4,4.5,5,6.2,10.7,15.19912669,
Mauritius,MUS,15.17222875,16.7,20.22,21.81,22.51,28.33,34.95,35.42,40.11682514,44.80327537,50.13931848,
Malawi,MWI,0.384489334,0.42513749,0.965864737,0.7,1.07,2.26,3.33,4.3506,5.05,5.83,9.298148347,
Malaysia,MYS,48.62917025,51.63798899,55.7,55.8,55.9,56.3,61,65.8,57.05751226,63.66542588,71.06406781,
North America,NAC,68.32787479,69.27045383,74.82360509,74.26650299,71.91664651,72.54048364,71.04254959,75.5235834,72.83028818,74.40481529,75.93725156,
Namibia,NAM,4.010046644,4.398870647,4.835610778,5.329003772,6.5,11.6,12,12.9414,13.9,14.84,22.30701479,
New Caledonia,NCL,32.35901475,33.51571468,35.05,34.51,33.99,42,50,58,66,70,74.00175279,
Niger,NER,0.221341351,0.294033977,0.39039062,0.7,0.76,0.83,1.3,1.4077,1.7,1.95,2.22016535,
Nigeria,NGA,3.549155718,5.545036083,6.77,15.86,20,24,28.43,32.8,38,42.68,47.44255029,
Nicaragua,NIC,2.566351177,2.805573063,3.9,5.3,7.3,10,10.6,13.5,15.5,17.6,19.7042915,
Netherlands,NLD,81,83.7,85.82,87.42,89.63,90.72,91.41999576,92.85999236,93.9564,93.17,93.0965,
Norway,NOR,81.99,82.55,86.93,90.57,92.08,93.39,93.48998265,94.64997805,95.0534,96.3,96.8103,
Nepal,NPL,0.826551266,1.141389164,1.41,1.73,1.97,7.93,9,11.1493,13.3,15.44,17.58161801,
Nauru,NRU,,,,,,,54,,,,,
New Zealand,NZL,62.72021237,69,69.76,72.03,79.7,80.46,81.23,82,82.78,85.5,88.22288882,
OECD members,OED,54.14682857,56.60755682,61.87614113,63.91264904,65.32168712,67.62063433,68.55298836,70.95077209,72.25445277,74.26105522,77.24348746,
Oman,OMN,6.68358142,8.299716673,16.68,20,26.8,35.8278,48,60,66.45,70.22,74.17416597,
Other small states,OSS,13.15172829,14.53679537,16.39134864,18.91716643,20.88571962,24.24058748,27.29124162,29.75500507,33.13351405,36.78099244,40.39556383,
Pakistan,PAK,6.332329098,6.5,6.8,7,7.5,8,9,9.96,10.9,13.8,18,
Panama,PAN,11.48400928,17.34956617,22.29,33.82,39.08,40.1,42.7,40.30189522,44.03,44.92,51.20542499,
Peru,PER,17.1,20.7,25.2,30.57,31.4,34.77,36.01,38.2,39.2,40.2,40.9,
Philippines,PHL,5.397636329,5.740586325,5.97,6.22,9,25,29,36.2351,37,39.69,40.7,
Palau,PLW,,,,,,,,,,,,
Papua New Guinea,PNG,1.716190476,1.754487261,1.790559361,1.15,1.61,1.28,2,3.5,5.1,6.5,7.9,
Poland,POL,38.81,44.58,48.6,53.13,58.97,62.32,61.94999897,62.30999727,62.8492,66.6,67.997,
Pre-demographic dividend,PRE,1.727029633,2.716785191,3.524059456,5.746635821,7.149746509,9.426763683,11.52358938,13.75177462,16.14504987,18.47942146,21.0710908,
Puerto Rico,PRI,23.40005045,25.44241821,27.86,38,41.5,45.3,48,68.9999826,68.99999,76.13385972,79.46876883,
"Korea, Dem. People’s Rep.",PRK,0,0,0,0,0,0,0,0,,,,
Portugal,PRT,34.99,38.01,42.09,44.13,48.27,53.3,55.24999688,60.33999749,62.0956,64.59,68.6329,
Paraguay,PRY,7.907007861,7.962073884,11.21,14.27,18.9,19.8,24.76351588,29.34,36.9,43,44.38159692,
Pacific island small states,PSS,5.582895212,6.498386173,7.397865573,8.69695568,10.87792033,12.98691854,17.67352103,20.90334677,22.92465917,26.68750547,29.78284146,
Post-demographic dividend,PST,58.50392997,60.42210072,65.66937409,67.6511373,68.84253724,70.95460509,71.42468541,74.21958686,75.69817015,77.83512053,79.77495336,
French Polynesia,PYF,21.54218547,25.10796425,28.59,33.87,44.6,49,49,52.87663059,56.8,60.68,64.56020975,
Qatar,QAT,24.73349378,28.97411271,37,44.3,53.1,69,69,69.3,85.3,91.49,92.88482645,
Romania,ROU,21.5,24.66,28.3,32.42,36.6,39.93,40.00999678,45.87999425,49.7645,54.08,55.7632,
Russian Federation,RUS,15.2266732,18.02327746,24.66,26.83,29,43,49,63.8,67.97,70.52,73.41,
Rwanda,RWA,0.556041165,,2.115387178,4.5,7.7,8,7,8.023854277,9,10.6,18,
South Asia,SAS,2.546688328,2.983348307,3.973400118,4.416823408,5.157112647,7.206545642,9.393092787,11.5120098,13.74662379,19.26777723,23.62794112,
Saudi Arabia,SAU,12.70503599,19.45955435,30,36,38,41,47.5,54,60.5,64.71365737,69.6162358,
Sudan,SDN,1.292040678,,8.66,,,16.7,17.46,21,22.7,24.64,26.61492855,
Senegal,SEN,4.786684083,5.611738652,6.89,7.12,7.5,8,9.8,10.8,13.1,17.7,21.69026413,
Singapore,SGP,61,59,69.9,69,69,71,71,72,80.90205685,79.02923586,82.103,
Solomon Islands,SLB,0.844307573,1.646347989,2,3,4,5,6,6.9974,8,9,10.00046498,
Sierra Leone,SLE,0.21539161,0.227669467,0.239834699,0.25,0.26,0.58,0.9,1.3,1.7,2.1,2.5,
El Salvador,SLV,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.32138772,23.1093,24.76171215,26.91507533,
San Marino,SMR,50.2595642,50.20865936,50.36482211,54.52,54.21,,49.6,,,,,
Somalia,SOM,1.077327839,1.100216368,1.122235622,1.142687372,1.160610542,,1.25,1.3767,1.5,1.63,1.76,
Serbia,SRB,26.3,27.2,33.15,35.6,38.1,40.9,42.2,48.1,53.45036418,62.07508046,65.3170254,
Sub-Saharan Africa (excluding high income),SSA,2.041749965,2.921900593,3.666278757,5.612712778,6.922015421,9.772200583,12.10548202,14.6094728,17.11823213,19.5723979,22.38466453,
South Sudan,SSD,,,,,,7,,,14.1,15.9,17.92978723,
Sub-Saharan Africa,SSF,2.044469415,2.925828755,3.670158994,5.616740719,6.922015421,9.775497398,12.10872903,14.61288055,17.1216113,19.57576513,22.38805971,
Small states,SST,13.87390933,15.4979286,17.49552325,20.06902383,22.48638207,25.82915549,29.69383072,31.81846491,34.99790476,38.53839019,41.93455097,
Sao Tome and Principe,STP,13.75948422,14.18201978,14.5904832,15.48,16.41,18.75,20.1612,21.5724,23,24.41,25.8222488,
Suriname,SUR,6.403086288,9.499626942,14.11,21.06,31.36,31.59,32,34.6812,37.4,40.08,42.76382778,
Slovak Republic,SVK,55.19,56.08,61.8,66.05,70,75.71,74.43999717,76.70999012,77.8826,79.98,85.01951406,
Slovenia,SVN,46.81,54.01,56.74,58,64,70,67.33999481,68.34997453,72.6756,71.59,73.0987,
Sweden,SWE,84.83,87.76,82.01,90,91,90,92.76998606,93.17998801,94.7836,92.52,90.6102,
Swaziland,SWZ,3.696961073,3.696538789,4.1,6.85,8.94,11.04,18.13,20.78178258,24.7,27.1,30.38270066,
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,
Seychelles,SYC,25.41326815,34.95197117,38.38,40.44,,41,43.16400446,47.076,50.4,54.26,58.11869757,
Syrian Arab Republic,SYR,5.648106049,7.832551569,11.5,14,17.3,20.7,22.5,24.3001,26.2,28.09,29.97979724,
Turks and Caicos Islands,TCA,,,,,,,,,,,,
Chad,TCD,0.3992577,0.581045764,0.847224521,1.19,1.5,1.7,1.9,2.1,2.3,2.5,2.700000001,
East Asia & Pacific (IDA & IBRD countries),TEA,8.424335728,10.30222372,14.56319688,19.50112271,24.06571995,29.31742709,32.78710741,36.56824335,39.24711359,41.9051896,44.98204897,
Europe & Central Asia (IDA & IBRD countries),TEC,15.04820762,17.8307096,23.05912683,26.64793977,30.44366631,38.16688634,42.60976996,49.87290343,53.7257328,57.73570264,60.71874648,
Togo,TGO,1.8,2,2.2,2.4,2.6,3,3.5,4,4.5,5.7,7.12,
Thailand,THA,15.02600436,17.16071472,20.03,18.2,20.1,22.4,23.66992562,26.46,28.94,34.89,39.31612674,
